node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
1375		otu_node	14	2072.23153766		otu	otu	otu	otu
1376		otu_node	12	646.502462859		otu	otu	otu	otu
1377		otu_node	8	611.955452299		otu	otu	otu	otu
1378		otu_node	9	888.357815729		otu	otu	otu	otu
1379		otu_node	4	2615.06863759		otu	otu	otu	otu
138		otu_node	14	25382.0482738		otu	otu	otu	otu
1381		otu_node	17	390.248934373		otu	otu	otu	otu
1382		otu_node	12	367.292816854		otu	otu	otu	otu
1383		otu_node	16	364.91615696		otu	otu	otu	otu
1384		otu_node	12	2081.83371707		otu	otu	otu	otu
1385		otu_node	7	549.245653552		otu	otu	otu	otu
1386		otu_node	11	638.167390279		otu	otu	otu	otu
1387		otu_node	6	729.111928625		otu	otu	otu	otu
1388		otu_node	6	495.49511899		otu	otu	otu	otu
1389		otu_node	11	636.638244012		otu	otu	otu	otu
139		otu_node	24	3486.01111438		otu	otu	otu	otu
1390		otu_node	13	361.526815213		otu	otu	otu	otu
1391		otu_node	13	437.115989223		otu	otu	otu	otu
1392		otu_node	7	2284.79098076		otu	otu	otu	otu
1393		otu_node	14	389.606599934		otu	otu	otu	otu
1394		otu_node	11	649.208472105		otu	otu	otu	otu
1395		otu_node	13	398.048299091		otu	otu	otu	otu
1396		otu_node	9	745.829559716		otu	otu	otu	otu
1397		otu_node	9	663.820747952		otu	otu	otu	otu
1398		otu_node	13	862.990360545		otu	otu	otu	otu
14		otu_node	24	35545.7407019		otu	otu	otu	otu
140		otu_node	11	28533.0257628		otu	otu	otu	otu
1400		otu_node	6	695.296589366		otu	otu	otu	otu
1401		otu_node	6	936.43903909		otu	otu	otu	otu
1402		otu_node	6	643.510009522		otu	otu	otu	otu
1403		otu_node	13	442.215983904		otu	otu	otu	otu
1404		otu_node	10	758.843851537		otu	otu	otu	otu
1405		otu_node	24	470.518717405		otu	otu	otu	otu
1406		otu_node	17	396.951137006		otu	otu	otu	otu
1407		otu_node	6	1152.56381184		otu	otu	otu	otu
1408		otu_node	18	256.058616555		otu	otu	otu	otu
1409		otu_node	12	1165.29309018		otu	otu	otu	otu
141		otu_node	7	187.625775273		otu	otu	otu	otu
1410		otu_node	12	641.968499522		otu	otu	otu	otu
1411		otu_node	16	460.607566391		otu	otu	otu	otu
1412		otu_node	9	723.319444732		otu	otu	otu	otu
1413		otu_node	13	1140.74146797		otu	otu	otu	otu
1414		otu_node	4	333.66935634		otu	otu	otu	otu
1415		otu_node	11	2233.77663633		otu	otu	otu	otu
1416		otu_node	12	217.19881612		otu	otu	otu	otu
1417		otu_node	10	774.97719011		otu	otu	otu	otu
1418		otu_node	7	668.925961066		otu	otu	otu	otu
1419		otu_node	13	297.105814308		otu	otu	otu	otu
142		otu_node	18	4065.67869583		otu	otu	otu	otu
1420		otu_node	17	336.749849743		otu	otu	otu	otu
1421		otu_node	9	818.80316592		otu	otu	otu	otu
1422		otu_node	11	656.8882001		otu	otu	otu	otu
1423		otu_node	15	569.671544214		otu	otu	otu	otu
1424		otu_node	9	705.907331526		otu	otu	otu	otu
1425		otu_node	5	410.992787488		otu	otu	otu	otu
1426		otu_node	11	510.448819686		otu	otu	otu	otu
1427		otu_node	6	2039.54733906		otu	otu	otu	otu
1428		otu_node	10	563.200244322		otu	otu	otu	otu
143		otu_node	15	5436.80663019		otu	otu	otu	otu
1430		otu_node	6	2331.79154234		otu	otu	otu	otu
